repository_name,owner_username,stars,repository_url
three.js,mrdoob,90000,https://github.com/topics//mrdoob/three.js
react-three-fiber,pmndrs,22000,https://github.com/topics//pmndrs/react-three-fiber
libgdx,libgdx,21000,https://github.com/topics//libgdx/libgdx
Babylon.js,BabylonJS,19000,https://github.com/topics//BabylonJS/Babylon.js
tinyrenderer,ssloy,16000,https://github.com/topics//ssloy/tinyrenderer
aframe,aframevr,15000,https://github.com/topics//aframevr/aframe
3d-game-shaders-for-beginners,lettier,14000,https://github.com/topics//lettier/3d-game-shaders-for-beginners
FreeCAD,FreeCAD,13000,https://github.com/topics//FreeCAD/FreeCAD
cesium,CesiumGS,10000,https://github.com/topics//CesiumGS/cesium
zdog,metafizzy,9000,https://github.com/topics//metafizzy/zdog
3D-Machine-Learning,timzhang642,8000,https://github.com/topics//timzhang642/3D-Machine-Learning
Open3D,isl-org,8000,https://github.com/topics//isl-org/Open3D
blender,blender,8000,https://github.com/topics//blender/blender
SpaceshipGenerator,a1studmuffin,7000,https://github.com/topics//a1studmuffin/SpaceshipGenerator
BlenderGIS,domlysz,6000,https://github.com/topics//domlysz/BlenderGIS
Fyrox,FyroxEngine,6000,https://github.com/topics//FyroxEngine/Fyrox
openscad,openscad,5000,https://github.com/topics//openscad/openscad
model-viewer,google,5000,https://github.com/topics//google/model-viewer
spritejs,spritejs,5000,https://github.com/topics//spritejs/spritejs
webglstudio.js,jagenjo,4000,https://github.com/topics//jagenjo/webglstudio.js
