repository_name,owner_username,stars,repository_url
devops-exercises,bregman-arie,41000,https://github.com/topics//bregman-arie/devops-exercises
pulumi,pulumi,15000,https://github.com/topics//pulumi/pulumi
recommenders,microsoft,15000,https://github.com/topics//microsoft/recommenders
awesome-kubernetes,ramitsurana,13000,https://github.com/topics//ramitsurana/awesome-kubernetes
azure-quickstart-templates,Azure,12000,https://github.com/topics//Azure/azure-quickstart-templates
sops,mozilla,12000,https://github.com/topics//mozilla/sops
caprover,caprover,10000,https://github.com/topics//caprover/caprover
go-cloud,google,9000,https://github.com/topics//google/go-cloud
computervision-recipes,microsoft,8000,https://github.com/topics//microsoft/computervision-recipes
infracost,infracost,8000,https://github.com/topics//infracost/infracost
prowler,prowler-cloud,7000,https://github.com/topics//prowler-cloud/prowler
azuredatastudio,microsoft,7000,https://github.com/topics//microsoft/azuredatastudio
formidable,node-formidable,6000,https://github.com/topics//node-formidable/formidable
metaflow,Netflix,6000,https://github.com/topics//Netflix/metaflow
midway,midwayjs,6000,https://github.com/topics//midwayjs/midway
clean-code-dotnet,thangchung,5000,https://github.com/topics//thangchung/clean-code-dotnet
tfsec,aquasecurity,5000,https://github.com/topics//aquasecurity/tfsec
docker-android,budtmo,5000,https://github.com/topics//budtmo/docker-android
checkov,bridgecrewio,5000,https://github.com/topics//bridgecrewio/checkov
ScoutSuite,nccgroup,5000,https://github.com/topics//nccgroup/ScoutSuite
