repository_name,owner_username,stars,repository_url
tensorflow,tensorflow,173000,https://github.com/topics//tensorflow/tensorflow
transformers,huggingface,88000,https://github.com/topics//huggingface/transformers
pytorch,pytorch,64000,https://github.com/topics//pytorch/pytorch
keras,keras-team,57000,https://github.com/topics//keras-team/keras
cs-video-courses,Developer-Y,54000,https://github.com/topics//Developer-Y/cs-video-courses
scikit-learn,scikit-learn,53000,https://github.com/topics//scikit-learn/scikit-learn
tesseract,tesseract-ocr,50000,https://github.com/topics//tesseract-ocr/tesseract
face_recognition,ageitgey,47000,https://github.com/topics//ageitgey/face_recognition
ML-For-Beginners,microsoft,45000,https://github.com/topics//microsoft/ML-For-Beginners
awesome-scalability,binhnguyennus,44000,https://github.com/topics//binhnguyennus/awesome-scalability
faceswap,deepfakes,44000,https://github.com/topics//deepfakes/faceswap
TensorFlow-Examples,aymericdamien,42000,https://github.com/topics//aymericdamien/TensorFlow-Examples
julia,JuliaLang,42000,https://github.com/topics//JuliaLang/julia
d2l-zh,d2l-ai,41000,https://github.com/topics//d2l-ai/d2l-zh
100-Days-Of-ML-Code,Avik-Jain,40000,https://github.com/topics//Avik-Jain/100-Days-Of-ML-Code
DeepFaceLab,iperov,38000,https://github.com/topics//iperov/DeepFaceLab
yolov5,ultralytics,36000,https://github.com/topics//ultralytics/yolov5
caffe,BVLC,33000,https://github.com/topics//BVLC/caffe
Made-With-ML,GokuMohandas,32000,https://github.com/topics//GokuMohandas/Made-With-ML
google-research,google-research,28000,https://github.com/topics//google-research/google-research
