repository_name,owner_username,stars,repository_url
mit-deep-learning-book-pdf,janishar,11000,https://github.com/topics//janishar/mit-deep-learning-book-pdf
ludwig,ludwig-ai,8000,https://github.com/topics//ludwig-ai/ludwig
machine-learning-mindmap,dformoso,5000,https://github.com/topics//dformoso/machine-learning-mindmap
LibreTranslate,LibreTranslate,3000,https://github.com/topics//LibreTranslate/LibreTranslate
nexrender,inlife,1000,https://github.com/topics//inlife/nexrender
dotfiles,atomantic,1000,https://github.com/topics//atomantic/dotfiles
vm,nextcloud,1000,https://github.com/topics//nextcloud/vm
rapping-neural-network,robbiebarrat,1000,https://github.com/topics//robbiebarrat/rapping-neural-network
RaftLib,RaftLib,None,https://github.com/topics//RaftLib/RaftLib
awesome-machine-learning,onmyway133,None,https://github.com/topics//onmyway133/awesome-machine-learning
DeepJ,calclavia,None,https://github.com/topics//calclavia/DeepJ
ikvm,ikvm-revived,None,https://github.com/topics//ikvm-revived/ikvm
stent,krasimir,None,https://github.com/topics//krasimir/stent
HungaBunga,ypeleg,None,https://github.com/topics//ypeleg/HungaBunga
sklearn-classification,dformoso,None,https://github.com/topics//dformoso/sklearn-classification
awesome-ocr,zacharywhitley,None,https://github.com/topics//zacharywhitley/awesome-ocr
moviebox,klaudiosinani,None,https://github.com/topics//klaudiosinani/moviebox
machinery,joaomdmoura,None,https://github.com/topics//joaomdmoura/machinery
practical-mlops-book,paiml,None,https://github.com/topics//paiml/practical-mlops-book
memflow,memflow,None,https://github.com/topics//memflow/memflow
