repository_name,owner_username,stars,repository_url
system-design-primer,donnemartin,216000,https://github.com/topics//donnemartin/system-design-primer
tensorflow,tensorflow,173000,https://github.com/topics//tensorflow/tensorflow
CS-Notes,CyC2018,163000,https://github.com/topics//CyC2018/CS-Notes
awesome-python,vinta,161000,https://github.com/topics//vinta/awesome-python
Python,TheAlgorithms,156000,https://github.com/topics//TheAlgorithms/Python
free-programming-books-zh_CN,justjavac,101000,https://github.com/topics//justjavac/free-programming-books-zh_CN
project-based-learning,practical-tutorials,95000,https://github.com/topics//practical-tutorials/project-based-learning
transformers,huggingface,88000,https://github.com/topics//huggingface/transformers
thefuck,nvbn,76000,https://github.com/topics//nvbn/thefuck
django,django,69000,https://github.com/topics//django/django
HelloGitHub,521xueweihan,66000,https://github.com/topics//521xueweihan/HelloGitHub
pytorch,pytorch,64000,https://github.com/topics//pytorch/pytorch
flask,pallets,62000,https://github.com/topics//pallets/flask
core,home-assistant,59000,https://github.com/topics//home-assistant/core
keras,keras-team,57000,https://github.com/topics//keras-team/keras
ansible,ansible,56000,https://github.com/topics//ansible/ansible
fastapi,tiangolo,56000,https://github.com/topics//tiangolo/fastapi
scikit-learn,scikit-learn,53000,https://github.com/topics//scikit-learn/scikit-learn
superset,apache,51000,https://github.com/topics//apache/superset
leetcode,azl397985856,50000,https://github.com/topics//azl397985856/leetcode
